105 -0x1.29228968ba6bfp-8 -0x1.29228968ba319p-8 0x1.fffffffffff7bp-1 0x1.0000000000045p+0 -0x1.31a0000000002p-47 0x1.31d0000000002p-47 -0x1.afb8000000002p-48 0x1.afe0000000002p-48 0.64375491 262144
107 -0x1.2020a997abdefp-8 -0x1.2020a997aba64p-8 0x1.fffffffffff7cp-1 0x1.0000000000045p+0 -0x1.2ac0000000002p-47 0x1.2ac0000000002p-47 -0x1.a5c0000000002p-48 0x1.a5f8000000002p-48 0.633138136 262144
108 -0x1.1b577af422d37p-8 -0x1.1b577af4229b9p-8 0x1.fffffffffff7dp-1 0x1.0000000000045p+0 -0x1.27c0000000002p-47 0x1.2800000000002p-47 -0x1.a1f8000000002p-48 0x1.a228000000002p-48 0.650240106 262144
109 -0x1.166fb3a613083p-8 -0x1.166fb3a612d17p-8 0x1.fffffffffff7fp-1 0x1.0000000000044p+0 -0x1.2240000000002p-47 0x1.2250000000002p-47 -0x1.99d0000000002p-48 0x1.9a18000000002p-48 0.601143487 262144
110 -0x1.11767a398de01p-8 -0x1.11767a398daa3p-8 0x1.fffffffffff7ep-1 0x1.0000000000044p+0 -0x1.1fb0000000002p-47 0x1.1f80000000002p-47 -0x1.95f0000000002p-48 0x1.95c0000000002p-48 0.662324409 262144
111 -0x1.0c78bdd3c0481p-8 -0x1.0c78bdd3c013p-8 0x1.fffffffffff7dp-1 0x1.0000000000044p+0 -0x1.1e20000000002p-47 0x1.1e20000000002p-47 -0x1.9348000000002p-48 0x1.9310000000002p-48 0.65141337 262144
112 -0x1.0783116955219p-8 -0x1.0783116954ed5p-8 0x1.fffffffffff7fp-1 0x1.0000000000043p+0 -0x1.19c0000000002p-47 0x1.19d0000000002p-47 -0x1.8d50000000002p-48 0x1.8d58000000002p-48 0.682957873 262144
113 -0x1.02a18bd98c713p-8 -0x1.02a18bd98c3dbp-8 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.18d0000000002p-47 0x1.18e0000000002p-47 -0x1.8b18000000002p-48 0x1.8b40000000002p-48 0.606029646 262144
114 -0x1.fbbf5a3cee024p-9 -0x1.fbbf5a3ced9d3p-9 0x1.fffffffffff7fp-1 0x1.0000000000043p+0 -0x1.1560000000002p-47 0x1.15b0000000002p-47 -0x1.86b0000000002p-48 0x1.86e0000000002p-48 0.635658888 262144
115 -0x1.f290912b7bb66p-9 -0x1.f290912b7b52ap-9 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.1390000000002p-47 0x1.1390000000002p-47 -0x1.8440000000002p-48 0x1.8440000000002p-48 0.66187137 262144
116 -0x1.e9cae879e0d19p-9 -0x1.e9cae879e06fbp-9 0x1.fffffffffff8p-1 0x1.0000000000043p+0 -0x1.0ea0000000002p-47 0x1.0e80000000002p-47 -0x1.7d30000000002p-48 0x1.7d30000000002p-48 0.661634257 262144
117 -0x1.e180f931f4e95p-9 -0x1.e180f931f488dp-9 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.0be0000000002p-47 0x1.0c00000000002p-47 -0x1.7980000000002p-48 0x1.7990000000002p-48 0.610781667 262144
118 -0x1.d9c3b9c4cf7a9p-9 -0x1.d9c3b9c4cf1bp-9 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.0b00000000002p-47 0x1.0aa0000000002p-47 -0x1.7828000000002p-48 0x1.7800000000002p-48 0.61709429 262144
119 -0x1.d2a275ef615p-9 -0x1.d2a275ef60f19p-9 0x1.fffffffffff7fp-1 0x1.0000000000043p+0 -0x1.0840000000002p-47 0x1.0850000000002p-47 -0x1.7408000000002p-48 0x1.7440000000002p-48 0.730652697 262144
120 -0x1.cc2acd0833781p-9 -0x1.cc2acd08331a9p-9 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.07d0000000002p-47 0x1.07d0000000002p-47 -0x1.73f0000000002p-48 0x1.73a0000000002p-48 0.748809402 262144
121 -0x1.c668b579aa532p-9 -0x1.c668b579a9f67p-9 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.05c0000000002p-47 0x1.0590000000002p-47 -0x1.70f0000000002p-48 0x1.70a8000000002p-48 0.61462781 262144
122 -0x1.c166841e50124p-9 -0x1.c166841e4fb67p-9 0x1.fffffffffff7ep-1 0x1.0000000000043p+0 -0x1.0310000000002p-47 0x1.02e0000000002p-47 -0x1.6d68000000002p-48 0x1.6d10000000002p-48 0.621887166 262144
123 -0x1.bd2cf632b323dp-9 -0x1.bd2cf632b2c8ap-9 0x1.fffffffffff81p-1 0x1.0000000000043p+0 -0x1.00d0000000002p-47 0x1.00d0000000002p-47 -0x1.6a78000000002p-48 0x1.6a60000000002p-48 0.7145901 262144
124 -0x1.b9c33c9a2c8e6p-9 -0x1.b9c33c9a2c339p-9 0x1.fffffffffff7fp-1 0x1.0000000000043p+0 -0x1.01b0000000002p-47 0x1.01c0000000002p-47 -0x1.6b58000000002p-48 0x1.6b98000000002p-48 0.701255627 262144
125 -0x1.b72f074900852p-9 -0x1.b72f0749002afp-9 0x1.fffffffffff7fp-1 0x1.0000000000042p+0 -0x1.fd00000000003p-48 0x1.fc40000000003p-48 -0x1.66c8000000002p-48 0x1.6698000000002p-48 0.655242292 262144
126 -0x1.b5748fc609f3dp-9 -0x1.b5748fc609999p-9 0x1.fffffffffff8p-1 0x1.0000000000043p+0 -0x1.fe40000000003p-48 0x1.fe40000000003p-48 -0x1.6800000000002p-48 0x1.67f8000000002p-48 0.615642595 262144
127 -0x1.b496a1df72308p-9 -0x1.b496a1df71d65p-9 0x1.fffffffffff7fp-1 0x1.0000000000043p+0 -0x1.0070000000002p-47 0x1.0070000000002p-47 -0x1.69b0000000002p-48 0x1.69b8000000002p-48 0.65707973 262144
